,precision,recall,f1-score,support
eyeglasses,0.8931297709923665,0.8297872340425532,0.8602941176470589,141.0
face,0.7291666666666666,0.6818181818181818,0.7046979865771812,154.0
fan,0.7258064516129032,0.6,0.656934306569343,150.0
feather,0.6413793103448275,0.6241610738255033,0.6326530612244898,149.0
fence,0.676829268292683,0.74,0.7070063694267515,150.0
finger,0.7086092715231788,0.722972972972973,0.7157190635451505,148.0
fire hydrant,0.6344827586206897,0.6301369863013698,0.6323024054982818,146.0
fireplace,0.6625766871165644,0.7605633802816901,0.7081967213114754,142.0
firetruck,0.632,0.5683453237410072,0.5984848484848485,139.0
fish,0.808641975308642,0.8733333333333333,0.8397435897435898,150.0
flamingo,0.8333333333333334,0.7232704402515723,0.7744107744107744,159.0
flashlight,0.7890625,0.7651515151515151,0.7769230769230769,132.0
flip flops,0.6888888888888889,0.8378378378378378,0.7560975609756098,148.0
floor lamp,0.8102189781021898,0.7302631578947368,0.7681660899653979,152.0
flower,0.8072289156626506,0.8271604938271605,0.8170731707317073,162.0
flying saucer,0.7391304347826086,0.6439393939393939,0.6882591093117408,132.0
foot,0.69375,0.8043478260869565,0.7449664429530202,138.0
fork,0.73125,0.8478260869565217,0.785234899328859,138.0
frog,0.652542372881356,0.4723926380368098,0.5480427046263345,163.0
frying pan,0.7604790419161677,0.7696969696969697,0.7650602409638554,165.0
garden,0.5222222222222223,0.6762589928057554,0.5893416927899686,139.0
garden hose,0.4,0.27631578947368424,0.32684824902723736,152.0
giraffe,0.9206349206349206,0.8592592592592593,0.8888888888888888,135.0
goatee,0.7718120805369127,0.732484076433121,0.7516339869281046,157.0
golf club,0.5957446808510638,0.7671232876712328,0.6706586826347305,146.0
grapes,0.6846153846153846,0.6267605633802817,0.6544117647058824,142.0
grass,0.5442477876106194,0.7884615384615384,0.643979057591623,156.0
guitar,0.5867346938775511,0.7098765432098766,0.6424581005586593,162.0
hamburger,0.7402597402597403,0.7755102040816326,0.7574750830564784,147.0
hammer,0.7459016393442623,0.7338709677419355,0.7398373983739838,124.0
hand,0.8450704225352113,0.916030534351145,0.8791208791208791,131.0
harp,0.8378378378378378,0.8920863309352518,0.8641114982578397,139.0
hat,0.6792452830188679,0.7659574468085106,0.72,141.0
headphones,0.9272727272727272,0.9444444444444444,0.9357798165137615,162.0
hedgehog,0.7171052631578947,0.7785714285714286,0.7465753424657534,140.0
